 What movie won best picture in the 2020 Academy Awards?	https://www.wikidata.org/wiki/Q61448040	Parasite 
 Who voices Nala in the 2019 version of The Lion King?	https://www.wikidata.org/wiki/Q36153	Beyoncé 
 What was the budget for Avengers: Endgame?	https://www.wikidata.org/wiki/Q23781155	356,000,000 United States dollar 
 Which actors have portrayed the character James Bond?	https://www.wikidata.org/wiki/Q4573	Sean Connery	David Niven	George Lazenby	Roger Moore	Timothy Dalton	Pierce Brosnan	Daniel Craig 
 What is the movie The Avengers about?	https://www.wikidata.org/wiki/Q182218	Alien invasion 
 Where was Titanic shot?	https://www.wikidata.org/wiki/Q44578	San Francisco	Long Beach	Vancouver	Mexico	Nova Scotia	Polsa Rosa Movie Ranch 
 What year did Grease come out?	https://www.wikidata.org/wiki/Q267721	1978 
 How many awards did Titanic win?	https://www.wikidata.org/wiki/Q44578	30 
 Did Iron Man pass the Bechdel test?	https://www.wikidata.org/wiki/Q192724	No 
 What kind of film is Iron Man?	https://www.wikidata.org/wiki/Q192724	action film	science fiction film	adventure film	superhero film 
 Who won the Academy Award for Best Director in 2012?	https://www.wikidata.org/wiki/Q103360	Ang Lee 
 Where does A Star Is Born take place?	https://www.wikidata.org/wiki/Q3286391	Los Angeles 
 Who directed A Star Is Born?	https://www.wikidata.org/wiki/Q3286391	Bradley Cooper 
 How much did it cost to film Tenet?	https://www.wikidata.org/wiki/Q63985561	200,000,000 United States dollar 
 In what year did the first Harry Potter movie come out?	https://www.wikidata.org/wiki/Q216930	2001 
 What are the titles of the Harry Potter movies?	https://www.wikidata.org/wiki/Q216930	Harry Potter and the Philosopher's Stone	Harry Potter and the Chamber of Secrets	Harry Potter and the Prisoner of Azkaban	Harry Potter and the Goblet of Fire	Harry Potter and the Order of the Phoenix	Harry Potter and the Half-Blood Prince	Harry Potter and the Deathly Hallows - Part 1	Harry Potter and the Deathly Hallows - Part 2 
 What is the Kijkwijzer rating of The Hitman's Bodygard?	https://www.wikidata.org/wiki/Q23796644	16 
 When is George Clooney born?	https://www.wikidata.org/wiki/Q23844	6 May 1961 
 How many awards did George Clooney receive?	https://www.wikidata.org/wiki/Q23844	17 
 Which movie came after Pokemon 3: The Movie?	https://www.wikidata.org/wiki/Q890665	Pokemon 4Ever 
 Which actors have played Tony Stark?	https://www.wikidata.org/wiki/Q23894967	Robert Downey Jr.	Davin Ransom 
 Who won the Academy Award for Best Supporting Actor in 1995?	https://www.wikidata.org/wiki/Q172678	Samuel L. Jackson 
 What are the main subjects of the movie Taken?	https://www.wikidata.org/wiki/Q277080	prostitution	organized crime 
